I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17
40.780,39.030,46.430,43.950,43.000,42.550,0.450,20.000,0.000,0.000,9.040,0.000,0.000,9.040,100.000,1.000,4.000,1.000
41.000,39.170,46.600,44.040,43.000,42.700,0.300,20.000,0.000,0.000,5.950,0.000,0.000,5.950,100.000,1.000,4.000,1.000
41.180,39.330,46.740,44.170,43.000,42.850,0.150,20.000,0.000,0.000,2.950,0.000,0.000,2.950,100.000,1.000,4.000,1.000
41.320,39.450,46.900,44.340,43.000,43.000,0.000,20.000,0.000,0.000,-0.090,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.450,39.570,47.060,44.490,43.000,43.140,-0.140,20.000,0.000,0.000,-2.880,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.580,39.690,47.190,44.610,43.000,43.270,-0.270,20.000,0.000,0.000,-5.350,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.690,39.790,47.300,44.750,43.000,43.380,-0.380,20.000,0.000,0.000,-7.630,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.780,39.890,47.400,44.820,43.000,43.470,-0.470,20.000,0.000,0.000,-9.470,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.870,40.000,47.480,44.860,43.000,43.550,-0.550,20.000,0.000,0.000,-11.040,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.950,40.070,47.530,44.890,43.000,43.610,-0.610,20.000,0.000,0.000,-12.200,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.980,40.100,47.570,44.970,43.000,43.660,-0.660,20.000,0.000,0.000,-13.130,0.000,0.000,0.000,100.000,1.000,4.000,1.000
42.010,40.140,47.590,45.030,43.000,43.690,-0.690,20.000,0.000,0.000,-13.820,0.000,0.000,0.000,100.000,1.000,4.000,1.000
42.020,40.160,47.590,45.030,43.000,43.700,-0.700,20.000,0.000,0.000,-14.000,0.000,0.000,0.000,100.000,1.000,4.000,1.000
42.020,40.150,47.590,44.990,43.000,43.690,-0.690,20.000,0.000,0.000,-13.730,0.000,0.000,0.000,100.000,1.000,4.000,1.000
42.030,40.160,47.580,44.910,43.000,43.670,-0.670,20.000,0.000,0.000,-13.380,0.000,0.000,0.000,100.000,1.000,4.000,1.000
42.000,40.150,47.550,44.820,43.000,43.630,-0.630,20.000,0.000,0.000,-12.640,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.940,40.120,47.490,44.790,43.000,43.590,-0.590,20.000,0.000,0.000,-11.720,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.900,40.090,47.400,44.770,43.000,43.540,-0.540,20.000,0.000,0.000,-10.810,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.870,40.070,47.330,44.730,43.000,43.500,-0.500,20.000,0.000,0.000,-10.010,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.820,40.030,47.270,44.720,43.000,43.460,-0.460,20.000,0.000,0.000,-9.220,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.780,39.990,47.210,44.700,43.000,43.420,-0.420,20.000,0.000,0.000,-8.400,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.710,39.930,47.110,44.630,43.000,43.340,-0.340,20.000,0.000,0.000,-6.860,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.630,39.860,46.980,44.510,43.000,43.250,-0.250,20.000,0.000,0.000,-4.940,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.560,39.840,46.870,44.430,43.000,43.170,-0.170,20.000,0.000,0.000,-3.480,0.000,0.000,0.000,100.000,1.000,4.000,1.000
41.490,39.790,46.780,44.380,43.000,43.110,-0.110,20.000,0.000,0.000,-2.200,0.000,0.000,0.000,100.000,1.000,4.000,1.000
