I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17
42.390,38.330,40.030,41.320,43.000,42.390,0.610,3.000,0.020,0.000,1.820,2.350,0.000,4.170,30.000,1.000,4.000,1.000
42.320,38.290,39.990,41.280,43.000,42.320,0.680,3.000,0.020,0.000,2.040,2.360,0.000,4.400,30.000,1.000,4.000,1.000
42.250,38.240,39.950,41.230,43.000,42.250,0.750,3.000,0.020,0.000,2.250,2.380,0.000,4.630,30.000,1.000,4.000,1.000
42.210,38.200,39.910,41.190,43.000,42.210,0.790,3.000,0.020,0.000,2.380,2.390,0.000,4.770,30.000,1.000,4.000,1.000
42.140,38.170,39.870,41.150,43.000,42.140,0.860,3.000,0.020,0.000,2.570,2.410,0.000,4.980,30.000,1.000,4.000,1.000
42.080,38.130,39.820,41.100,43.000,42.080,0.920,3.000,0.020,0.000,2.770,2.430,0.000,5.200,30.000,1.000,4.000,1.000
41.980,38.100,39.780,41.060,43.000,41.980,1.020,3.000,0.020,0.000,3.050,2.450,0.000,5.500,30.000,1.000,4.000,1.000
41.890,38.060,39.740,41.020,43.000,41.890,1.110,3.000,0.020,0.000,3.340,2.470,0.000,5.810,30.000,1.000,4.000,1.000
41.770,38.010,39.700,40.970,43.000,41.770,1.230,3.000,0.020,0.000,3.680,2.500,0.000,6.180,30.000,1.000,4.000,1.000
41.680,37.950,39.670,40.930,43.000,41.680,1.320,3.000,0.020,0.000,3.950,2.520,0.000,6.480,30.000,1.000,4.000,1.000
41.590,37.910,39.630,40.900,43.000,41.590,1.410,3.000,0.020,0.000,4.240,2.550,0.000,6.790,30.000,1.000,4.000,1.000
41.490,37.880,39.600,40.860,43.000,41.490,1.510,3.000,0.020,0.000,4.520,2.580,0.000,7.110,30.000,1.000,4.000,1.000
41.430,37.850,39.580,40.820,43.000,41.430,1.570,3.000,0.020,0.000,4.720,2.610,0.000,7.330,30.000,1.000,4.000,1.000
41.380,37.810,39.550,40.790,43.000,41.380,1.620,3.000,0.020,0.000,4.870,2.650,0.000,7.520,30.000,1.000,4.000,1.000
41.330,37.760,39.530,40.770,43.000,41.330,1.670,3.000,0.020,0.000,5.000,2.680,0.000,7.680,30.000,1.000,4.000,1.000
41.310,37.730,39.520,40.740,43.000,41.310,1.690,3.000,0.020,0.000,5.080,2.710,0.000,7.800,30.000,1.000,4.000,1.000
